names,calorie,total fats,carbs,protein
lebanon bologna,98,6.0,0.3,10.8
chicken pork bologna,94,8.6,1.2,2.9
turkey roll,40,1.9,0.6,4.9
beef salami cooked,68,5.8,0.5,3.3
yachtwurst cooked,150,12.7,0.8,8.3
italian salami,43,3.7,0.1,2.2
turkey ham,38,1.6,0.3,5.5
turkey bologna,59,4.5,1.3,3.2
sliced turkey breast,17,0.6,0.4,2.4
luncheon meat pork beef,99,9.0,0.7,3.5
beef bologna,90,7.8,1.3,3.3
turkey bacon cooked,313,22.9,2.5,24.3
ground emu cooked,178,5.1,0.0,31.0
ostrich leg raw,94,1.5,0.0,19.0
ostrich strip raw,108,2.4,0.0,20.1
emu fillet cooked,607,9.1,0.0,123.2
ostrich tenderloin raw,105,2.7,0.0,18.8
emu drums cooked,649,8.4,0.0,134.7
green turtle raw,25,0.1,0.0,5.6
ground bison cooked,448,21.6,0.0,63.6
goat meat raw,494,10.5,0.0,93.4
ground emu raw,157,4.7,0.0,26.6
ground ostrich raw,180,9.5,0.0,22.0
ostrich tip cooked,123,2.2,0.0,24.2
caribou cooked,210,6.4,0.0,38.0
ground ostrich cooked,163,6.6,0.0,24.3
ostrich leg cooked,120,1.6,0.0,24.7
ostrich top loin cooked,132,3.3,0.0,23.9
ostrich strip cooked,139,3.6,0.0,25.0
ostrich tip raw,97,2.0,0.0,18.6
ostrich round raw,99,2.0,0.0,18.7
ground bison raw,124,6.1,0.099,17.2
ostrich fan raw,99,2.3,0.0,18.5
ostrich top loin raw,101,2.5,0.0,18.4
veal brain cooked,461,32.6,0.0,38.9
veal tongue cooked,515,25.8,0.0,65.9
beef heart cooked,47,1.3,0.057,8.1
turkey liver cooked,100,4.3,0.0,14.3
veal thymus cooked,35,0.9,0.0,6.4
beef brain cooked,688,55.6,0.0,44.1
beef pancreas cooked,602,38.2,0.0,60.2
beef tripe cooked,80,3.4,1.7,10.0
chicken gizzard cooked,223,3.9,0.0,44.1
pork pancreas cooked,537,26.5,0.0,69.8
beef tongue cooked,80,6.3,0.0,5.5
lamb heart cooked,353,15.1,3.7,47.7
beef spleen cooked,447,12.9,0.0,77.3
veal kidneys cooked,300,10.4,0.0,48.4
chicken heart cooked,268,11.5,0.1,38.3
lamb tongue cooked,701,51.7,0.0,55.0
veal heart cooked,368,13.4,0.3,57.7
chicken liver cooked,76,2.8,0.5,11.3
lamb pancreas cooked,541,34.9,0.0,52.7
veal spleen cooked,445,10.0,0.0,83.1
lamb liver cooked,739,29.6,8.5,102.7
turkey gizzard cooked,70,2.1,0.0,11.9
lamp spleen cooked,460,14.1,0.0,78.1
turkey heart cooked,35,1.5,0.0,5.0
beef liver cooked,130,3.6,3.5,19.8
lamb lungs cooked,431,11.8,0.0,75.7
pork brain cooked,527,36.3,0.0,46.4
goose liver,125,4.0,5.9,15.4
pork kidneys cooked,211,6.6,0.0,35.6
lamb brain cooked,503,35.3,0.0,43.5
pork heart cooked,215,7.3,0.6,34.2
lamb kidneys cooked,349,9.2,2.5,60.3
beef lungs cooked,364,11.2,0.0,61.8
veal pancreas cooked,614,35.0,0.0,69.8
pork liver cooked,584,15.6,13.3,92.1
beef kidneys cooked,45,1.3,0.0,7.7
turkey giblets cooked,164,6.3,0.0,25.1
duck liver raw,60,2.0,1.6,8.2
veal liver cooked,154,5.0,3.0,22.7
pork lungs cooked,297,9.3,0.0,49.8
veal lungs cooked,312,7.9,0.0,56.2
beef thymus cooked,1215,95.2,0.0,83.2
ham,46,2.5,1.0,4.6
pork meat cooked,283,14.1,0.0,14.1
bacon roasted,43,3.3,0.1,3.0
pork top loin roasts raw,3644,182.8,0.0,468.4
pork blade roll raw,76,6.2,0.0,4.7
pork backribs raw,2399,174.9,0.0,204.2
pork spareribs cooked,703,53.6,0.0,51.4
pork stomach cooked,44,2.1,0.029,6.1
honey smoked ham cooked,67,1.3,4.0,9.9
boston butt steak raw,844,56.1,0.0,79.0
pork sirloin chops cooked,140,4.5,0.0,23.3
pork country style ribs raw,242,15.1,0.0,24.8
ham patties,205,18.3,1.1,8.3
pork feet cooked,67,4.5,0.0,6.2
ground pork cooked,930,65.0,0.0,80.4
pork centre loin chops cooked,328,17.4,0.0,40.2
pork leg cap steak cooked,307,8.6,0.0,53.5
pork blade chops raw,376,15.4,0.0,55.8
pork tenderloin raw,606,17.8,0.0,104.3
pork sirloin chops raw,1090,23.3,0.0,205.5
pork leg cap steak raw,284,7.8,0.0,50.0
pork carcass raw,1706,159.1,0.0,63.1
pork splean cooked,446,9.6,0.0,84.3
chopped ham,50,2.9,1.2,4.6
pork centre loin chops raw,338,18.0,0.0,41.2
pork blade chops cooked,265,14.6,1.1,32.4
boston butt steak cooked,494,32.7,0.0,46.4
pork meat raw,179,18.6,0.0,2.6
pork top loin chops raw,287,12.8,0.0,39.9
pork blade steak braised,694,44.7,0.087,68.2
pork boston steaks cooked,438,28.1,0.0,43.2
bacon cooked,43,3.1,0.068,3.5
pickled pork hocks,48,3.0,0.0,5.4
pork boston roast cooked,705,49.4,0.0,60.5
canadian style bacon grilled,43,2.0,0.3,5.7
ham steak,70,2.4,0.0,11.1
pork backfat,3683,402.3,0.0,13.2
bacon baked,44,3.5,0.1,2.9
pork arm picnic raw,5298,343.4,0.0,513.6
salt pork raw,212,22.8,0.0,1.4
pork arm picnic cooked,5292,322.7,0.0,560.3
pork top loin chops cooked,270,11.2,0.0,39.4
ground pork raw,329,26.5,0.0,21.1
pork shoulder raw,1070,81.6,0.0,77.9
pork chitterlings cooked,66,5.8,0.0,3.5
pork breakfast strips cooked,52,4.1,0.1,3.3
pork blade roll roasted,1079,88.3,1.4,65.0
pork tail cooked,1089,98.5,0.0,46.8
pork centre rib roasts raw,275,9.7,0.0,44.0
pork centre rib roasts roasted,1942,114.9,0.0,211.3
minced ham,55,4.3,0.4,3.4
ham roasted,316,21.3,0.6,28.7
pork loin raw,232,14.7,0.0,23.1
pork backribs roasted,2564,188.9,0.0,202.0
pork belly raw,2350,240.5,0.0,42.4
ham raw,266,18.2,0.046,23.8
ham extra lean,45,2.3,0.6,5.1
pork feet pickled,635,45.5,0.029,52.8
pork shoulder cooked,394,28.9,0.0,31.4
pork top loin roasts roasted,1628,74.8,0.0,224.3
pork skin,154,8.9,0.0,17.3
pork country style ribs cooked,235,15.2,0.0,22.8
pork blade steak raw,664,43.7,0.6,67.6
pork tenderloin cooked,153,6.2,0.0,22.7
pork loin cooked,213,12.1,0.0,24.2
pork ears cooked,184,12.0,0.2,17.7
pork tongue cooked,626,43.0,0.0,55.7
pork spareribs raw,3593,303.5,0.0,200.6
ham patties grilled,205,18.5,1.0,8.0
chicken skin roasted,508,45.6,0.0,22.8
turkey breast raw,3554,158.9,0.0,495.6
ground turkey raw,169,8.7,0.0,22.4
chicken wing cooked,52,3.5,0.0,4.8
turkey roast roasted,209,7.8,4.1,28.8
pheasant meat raw,1448,74.3,0.0,181.6
chicken back raw,188,17.0,0.0,8.3
chicken back cooked,93,6.5,0.0,8.0
chicken leg fried,431,25.5,13.8,34.4
chicken feet cooked,975,66.2,0.9,88.0
turkey steak fried,179,10.8,10.9,9.1
turkey taco meat cooked,271,13.9,5.5,30.7
chicken leg raw,736,54.9,0.6,56.3
chicken meat raw,1978,138.6,0.0,171.1
chicken neck cooked,94,6.9,0.0,7.5
chicken drumstick fried,193,11.3,6.0,15.8
quail egg,14,1.0,0.08,1.2
duck meat cooked,472,39.7,0.0,26.6
chicken wing roasted,216,14.3,0.0,20.2
quail meat cooked,1028,63.9,0.0,113.7
goose meat cooked,427,30.7,0.0,35.2
chicken breast cooked,114,4.5,0.0,17.3
chicken neck raw,149,13.1,0.0,7.0
duck egg,130,9.6,1.0,9.0
pheasant breast raw,484,11.8,0.0,88.7
duck meat raw,5123,498.8,0.0,145.7
squab meat raw,585,47.4,0.0,36.8
chicken drumstick raw,211,12.4,0.1,23.4
turkey meat roasted,284,11.1,0.031,42.8
chicken breast raw,299,16.1,0.0,36.3
ground chicken cooked,474,27.4,0.0,58.4
turkey wing cooked,426,23.1,0.0,50.9
goose meat raw,6077,550.7,0.0,259.8
turkey breast roasted,3266,128.0,0.0,496.1
chicken fajita strips,13,0.5,0.2,1.7
crispy chicken strips tyson,145,6.0,0.0,0.0
