code,brand,name_hu,name_main,calorie,protein,fat,carb,image_url
20603373,Milbona,Edam,Edamer,315.0,27.0,23.0,0.1,https://images.openfoodfacts.org/images/products/000/002/060/3373/front_fr.4.400.jpg
20612610,"Lidl, deluxe",,Beurre au sel de camargue,736.0,1.0,80.9,1.0,https://images.openfoodfacts.org/images/products/000/002/061/2610/front_fr.18.400.jpg
20622411,"Freshona, McEnnedy, McKennedy",,Нарязани кисели краставички,42.0,0.4,0.5,8.7,https://images.openfoodfacts.org/images/products/000/002/062/2411/front_en.48.400.jpg
20622671,"Italiamo,Lovilio",Scamorza,Scamorza Affumicata,255.0,25.0,17.0,0.5,https://images.openfoodfacts.org/images/products/000/002/062/2671/front_hu.26.400.jpg
20706869,"Deluxe, J.D. Gross, Wiebold",,Trüffelpralinen mit Alkohol,490.0,4.0,26.5,53.9,https://images.openfoodfacts.org/images/products/000/002/070/6869/front_hr.40.400.jpg
20724696,Alesto,,Almonds natural,621.0,24.5,53.3,4.8,https://images.openfoodfacts.org/images/products/000/002/072/4696/front_en.384.400.jpg
20769901,"Georg Parlasca Keksfabrik, Lidl, Lupilu",Bio almás keksz,Apple biscuits,427.0,6.4,13.0,68.3,https://images.openfoodfacts.org/images/products/000/002/076/9901/front_hu.24.400.jpg
20771539,"Lidl, Vemondo",Tojásfehérje alapú vegetáriánus grillrudacska,Vegetarian grill sticks,286.0,7.0,26.5,2.0,https://images.openfoodfacts.org/images/products/000/002/077/1539/front_en.153.400.jpg
20809386,Bellarom,,Био кафе на зърна,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/080/9386/front_hu.17.400.jpg
20809676,"chef select, lidl",,schwäbische sprätzle g.g.a.,169.0,6.3,4.1,25.8,https://images.openfoodfacts.org/images/products/000/002/080/9676/front_en.51.400.jpg
20815394,Alesto,,Mix di frutta secca,504.0,10.8,31.7,40.5,https://images.openfoodfacts.org/images/products/000/002/081/5394/front_en.175.400.jpg
20841553,Trium,"Macaron, csokoládé, kávé, pisztácia és karamell ízű",Macarons les surgelés,413.0,8.3,15.7,58.4,https://images.openfoodfacts.org/images/products/000/002/084/1553/front_fr.6.400.jpg
20847838,"Lidl, Sondey",,Schoko Sticks,495.0,7.9,21.3,65.2,https://images.openfoodfacts.org/images/products/000/002/084/7838/front_fr.50.400.jpg
20880514,El Tequito,,Guacamole,157.0,1.9,14.1,2.6,https://images.openfoodfacts.org/images/products/000/002/088/0514/front_fr.20.400.jpg
20933937,Alesto,Ínyenc Mix,Mélange de fruits secs et pétales chocolat,500.0,13.5,30.0,40.0,https://images.openfoodfacts.org/images/products/000/002/093/3937/front_hu.51.400.jpg
20995720,Milbona,,Edamer,312.0,25.0,23.0,0.1,https://images.openfoodfacts.org/images/products/000/002/099/5720/front_de.29.400.jpg
2200027608410,Bio primo,,Vegetarisch kinder tomatensauce,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/220/002/760/8410/front_en.5.400.jpg
2200054941870,Bioprimo,,Weiße chiasamen,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/220/005/494/1870/front_fr.4.400.jpg
22114891,"Aldi, Adler Schwarzwald, Aldi Süd",,Schwarzwälder Schinken über Tannenholz Geräuchert,234.0,26.0,14.0,1.0,https://images.openfoodfacts.org/images/products/000/002/211/4891/front_de.7.400.jpg
22152718,Aldi,,Cheddar kräftig,390.0,25.5,32.0,0.1,https://images.openfoodfacts.org/images/products/000/002/215/2718/front_en.5.400.jpg
24010511,Ismeretlen,,Minos Huile d'olive vierge extra,807.4,0.0,91.3,0.0,https://images.openfoodfacts.org/images/products/000/002/401/0511/front_fr.3.400.jpg
24022149,Choceur,,Nuss Knacker,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/402/2149/front_de.3.400.jpg
24027687,Aranykalász,,Búza finomliszt,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/402/7687/front_hu.8.400.jpg
24028431,Korngold,Dreisaatbot,Dreisaatbot,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/402/8431/front_hu.3.400.jpg
24041072,"Pure Fruits,Spitz",100%-os narancslé narancslésűrítményből,100% Orange aus Orangensaftkonzentrat,43.5,0.7,0.5,8.8,
24043878,Milfina,"Tej 2,8%","Tej 2,8%",57.0,3.1,2.9,4.7,https://images.openfoodfacts.org/images/products/000/002/404/3878/front_hu.9.400.jpg
24057561,"Milfina,FrieslandCampina","Rudi, natúr","Rudi, natúr",358.0,10.0,18.0,39.0,
24058094,"Milfina,Tolnatej",Cubo con hierbas provenzales,Cubo con hierbas provenzales,57.0,3.4,0.7,9.3,https://images.openfoodfacts.org/images/products/000/002/405/8094/front_hu.11.400.jpg
24065368,SweetValley,Ananas Scheiben,Ananas Scheiben,67.2,0.3,0.1,15.4,
